id,missing_link_id,candidate_link_id,referenced_link_id,name_score,speed_match,feature_id_match,oneway_match,dironsign_match,divided_type_match,coverage_over_link_area,coverage_over_candidate_area,is_match
210,894202956,891916889,893902,0,0,0,1,1,1,0.006189787760377,0.993524670600891,0
211,894202956,1223967571,893902,1,1,1,1,1,1,2.70751697826199E-05,0.99993109703064,0
212,894202956,894202955,893902,1,1,1,1,1,1,1.20301065180684E-05,0.999998033046722,0
213,762824197,1220459381,380273,1,1,1,1,1,1,0.647271931171417,0.021625271067023,1
214,762824197,1220459382,380273,1,1,1,1,1,1,0.331094115972519,0.021666621789336,1
215,762824197,762824199,380273,0,1,0,0,1,1,0.009224255569279,0.878201007843018,0
216,762824197,1200588964,380273,1,1,1,1,1,1,0.000113545800559,0.999789834022522,0
217,762824197,1220466868,380273,1,1,1,1,1,1,4.10119791922625E-05,0.999868988990784,0
218,920546126,1223893994,527085,1,1,1,1,1,1,0.727082431316376,0.047400448471308,1
219,920546126,1223893993,527085,1,1,1,1,1,1,0.227375328540802,0.039088804274798,1
220,920546126,1223893981,527085,1,1,1,1,1,1,9.63181519182399E-05,0.99947053194046,0
221,920546126,1202241683,527085,1,1,1,1,1,1,6.6245725065528E-06,0.999988853931427,0
222,1201950748,1222535308,722897,0.666666984558106,1,1,1,1,1,0.703004598617554,0.010563065297902,1
223,1201950748,1222535309,722897,0.666666984558106,1,1,1,1,1,0.286421895027161,0.010605365969241,1
224,1201950748,1222536475,722897,0,1,0,1,1,1,0.03437889739871,0.965067028999329,0
225,1201950748,1201950165,722897,0,0,0,0,1,1,0.010345814749599,0.990805864334106,0
226,1201950748,1201910632,722897,0,0,0,0,1,1,0.010212039574981,0.98059618473053,0
227,1201950748,1201949884,722897,0.666666984558106,1,1,1,1,1,0.000101121950138,0.999625027179718,0
228,1201950748,1223431521,722897,0.666666984558106,1,1,1,1,1,2.59213879871822E-06,0.999999582767487,0
229,99811245,1222870651,134339,1,1,1,1,1,1,0.883168458938599,0.022069565951824,1
230,99811245,1222870652,134339,1,1,1,1,1,1,0.035964231938124,0.535008013248444,1
231,99811245,124675728,134339,1,0,1,0,1,1,0.011049672029913,0.890704691410065,0
232,99811245,124675729,134339,1,1,1,0,1,1,0.000225942625548,0.997827529907227,0
233,99811245,1222870694,134339,1,1,1,1,1,1,1.69274369454797E-06,0.999920129776001,0
234,565907222,1221164511,341081,0,1,1,1,1,1,0.67096745967865,0.00018099337467,1
235,565907222,1221164512,341081,0,1,1,1,1,1,0.328322410583496,0.001799991121516,1
236,565907222,1217160881,341081,0,1,0,1,1,0,0.161675751209259,0.961004912853241,1
237,565907222,783675824,341081,0,0,0,0,1,0,0.062613844871521,0.959325969219208,0
238,565907222,565907224,341081,0,1,0,1,1,0,0.001405454357155,0.990360140800476,0
239,565907222,762196513,341081,0,1,1,1,1,1,0.00053404038772,0.999704957008362,0
240,1206445946,1221156758,912754,0.875,1,1,1,1,1,0.592091083526611,0.004665423650295,1
241,1206445946,1221156768,912754,1,1,1,1,1,1,0.234482184052467,0.028474507853389,1
242,1206445946,1221156769,912754,0.875,1,1,1,1,1,0.161933824419975,0.011324387043715,1
243,1206445946,1206445945,912754,0.875,1,1,1,1,1,8.70613712322665E-06,0.999988853931427,0
244,1206445946,1050018753,912754,0.875,0,1,1,1,1,7.16373051545816E-06,0.999911665916443,0
245,1208334200,1223392763,735009,1,1,1,1,1,1,0.320221185684204,0.048229027539492,1
246,1208334200,1223394071,735009,1,1,1,1,1,1,0.317562490701675,0.050859704613686,1
247,1208334200,1223394072,735009,1,1,1,1,1,1,0.174815595149994,0.025840787217021,1
248,1208334200,1223392762,735009,1,1,1,1,1,1,0.146051168441772,0.023220902308822,1
249,1208334200,1223392748,735009,0.107142999768257,0,0,1,1,1,0.003544355742633,0.992130696773529,0
250,1208334200,1223392781,735009,0.321429014205933,1,0,1,1,1,0.003410496516153,0.991141498088837,0
251,1208334200,1223392745,735009,1,1,1,1,1,1,8.56473798194202E-06,0.999950170516968,0
252,1208334200,1223392755,735009,0.727272987365723,1,1,1,1,1,3.68741348211188E-06,0.999970972537994,0
253,1464643648,1224918271,743736,1,0,1,1,1,1,0.108876556158066,0.247221440076828,1
254,1464643648,1225521061,743736,1,0,1,1,1,1,0.095726326107979,0.609311938285828,1
255,1464643648,130679585,743736,0,1,0,1,1,1,0.006809669081122,0.965880870819092,0
256,1464643648,1224918217,743736,1,0,1,1,1,1,0.000629900256172,0.995925009250641,1
257,1464643648,1224918145,743736,1,0,1,1,1,1,0.000260365282884,0.996549546718597,0
258,1464643648,1225461662,743736,1,0,1,1,1,1,0,1,0
259,1464643648,1225521227,743736,1,0,1,1,1,1,0,1,1
260,1464643648,1225521317,743736,1,0,1,1,1,1,0,1,1
261,1464643648,1225521318,743736,1,0,1,1,1,1,0,1,1
262,1464643648,1225521319,743736,1,0,1,1,1,1,0,1,1
263,913945761,1230306564,516954,1,1,1,1,1,1,0.602981626987457,0.002196731511503,1
264,913945761,1230306565,516954,1,1,1,1,1,1,0.352409094572067,-1.11022302462516E-15,1
265,913945761,1222688839,516954,0.200000002980232,1,0,1,1,1,0.042386695742607,0.020724488422275,1
266,913945761,1222688838,516954,0.200000002980232,1,0,1,1,1,7.31767022443819E-06,0.999722480773926,0
267,913945761,920540225,516954,1,1,1,1,1,1,0,1,0
268,1464610179,1224206059,743541,1,1,1,1,1,1,0.775315999984741,0.170826613903046,1
269,1464610179,1224206058,743541,1,1,1,1,1,1,0.05277268961072,0.142857149243355,1
270,1464610179,1224206060,743541,0,1,0,1,1,1,0.010957599617541,0.966054618358612,0
271,1464610179,1208262803,743541,0.157894998788834,0,0,1,1,1,0.001826702733524,0.9937784075737,0
272,1464610179,1464610180,743541,1,1,1,1,1,1,0.000433313398389,0.99988466501236,0
273,1464610179,131660615,743541,0.157894998788834,0,0,1,1,1,0,1,0
274,840770684,1223189780,451027,1,0,1,1,1,1,0.530976116657257,0.016422310844064,1
275,840770684,1223191627,451027,1,0,1,1,1,1,0.337679505348206,0.048245619982481,1
276,840770684,1223191628,451027,1,0,1,1,1,1,0.098310731351376,0.067032665014267,1
277,840770684,106697756,451027,0.119999997317791,1,0,1,1,1,0.003481294959784,0.996742129325867,0
278,840770684,840770685,451027,0,1,0,0,1,1,0.001304477336816,0.99325954914093,0
279,840770684,943810799,451027,1,0,1,1,1,1,5.85290399612859E-05,0.999874889850616,0
280,840770684,840770683,451027,1,0,1,1,1,1,2.88262563117314E-05,0.999739289283752,0
281,23434026,1223325871,52552,1,1,1,1,1,1,0.890579640865326,0.029094446450472,1
282,23434026,23434027,52552,0,0,0,0,1,1,0.13722088932991,0.878335058689117,0
283,23434026,1223325870,52552,1,1,1,1,1,1,0.080091193318367,0.03302264213562,1
284,23434026,23434028,52552,0,0,0,0,1,1,0.011284517124295,0.959674179553986,0
285,23434026,23403734,52552,1,1,1,1,1,1,3.43600659107324E-05,0.999962091445923,0
286,23434026,107242924,52552,0.318181991577148,1,0,1,1,1,2.09094159799861E-05,0.999988973140717,0
287,868832868,1218823154,477008,1,0,1,1,1,1,0.289547562599182,0.04929306730628,1
288,868832868,1218823071,477008,1,0,1,1,1,1,0.277430504560471,4.3039904973341E-11,1
289,868832868,1218823319,477008,1,0,1,1,1,1,0.240645423531532,0.016524113714695,1
290,868832868,1218823318,477008,1,0,1,1,1,1,0.16746661067009,0.034968547523022,1
291,868832868,1218833669,477008,0.083333298563957,0,0,1,1,1,0.011853577569127,0.964129686355591,0
292,868832868,868832869,477008,0,1,0,0,1,1,0.011204806156457,0.88305926322937,0
293,868832868,22488181,477008,0.083333298563957,0,0,1,1,1,0.005753480363637,0.948385536670685,0
294,868832868,22902076,477008,1,0,1,1,1,1,0.000109754946607,0.998629212379456,0
295,868832868,1218582539,477008,1,0,1,1,1,1,7.94191510067321E-05,0.999816834926605,0
296,113462784,1226446477,210609,1,1,1,1,1,1,0.850322544574737,0.024946244433522,1
297,113462784,1226446478,210609,1,1,1,1,1,1,0.124937534332275,0.023335674777627,1
298,113462784,113462804,210609,0,0,0,1,1,1,0.001266527804546,0.996040284633636,0
299,113462784,113462545,210609,0,0,0,1,1,1,0.001265908591449,0.999032258987427,0
300,113462784,113462833,210609,0,0,0,1,1,1,0.001247518579476,0.99204432964325,0
301,113462784,125635969,210609,1,1,1,1,1,1,1.29769478007802E-06,0.999924540519714,0
302,113462784,1226448578,210609,1,1,1,1,1,1,0,1,0
303,777771843,1225123782,956733,1,1,1,1,1,1,0.388879328966141,0.003687594085932,1
304,777771843,1225123953,956733,1,1,1,1,1,1,0.320976436138153,0.032778609544039,1
